,date,num,start,end
439,2023-02-07 00:00:00,2,11:35:00,11:50:00
440,2023-02-07 00:00:00,3,12:45:00,13:05:00
441,2023-02-08 00:00:00,1,10:40:00,13:30:00
442,2023-02-09 00:00:00,1,10:05:00,10:50:00
443,2023-02-09 00:00:00,2,11:50:00,12:15:00
444,2023-02-10 00:00:00,1,10:05:00,11:30:00
445,2023-02-10 00:00:00,2,11:50:00,13:10:00
446,2023-02-13 00:00:00,1,10:25:00,12:35:00
447,2023-02-14 00:00:00,1,10:00:00,10:25:00
448,2023-02-14 00:00:00,2,10:55:00,12:20:00
449,2023-02-15 00:00:00,1,10:05:00,13:10:00
450,2023-02-16 00:00:00,1,10:20:00,11:05:00
451,2023-02-17 00:00:00,1,10:00:00,10:20:00
452,2023-02-17 00:00:00,2,10:55:00,11:15:00
453,2023-02-17 00:00:00,3,12:20:00,13:10:00
454,2023-02-21 00:00:00,1,10:10:00,10:30:00
455,2023-02-21 00:00:00,2,11:05:00,12:05:00
456,2023-02-22 00:00:00,1,10:40:00,11:45:00
457,2023-02-24 00:00:00,1,10:10:00,11:00:00
458,2023-02-24 00:00:00,2,11:20:00,12:40:00
459,2023-02-27 00:00:00,1,10:35:00,11:50:00
460,2023-03-01 00:00:00,1,11:40:00,13:30:00
461,2023-03-02 00:00:00,1,11:25:00,13:15:00
462,2023-03-03 00:00:00,1,08:30:00,12:20:00
463,2023-03-06 00:00:00,1,08:30:00,11:20:00
464,2023-03-06 00:00:00,2,12:50:00,13:30:00
465,2023-03-07 00:00:00,1,10:40:00,11:20:00
466,2023-03-08 00:00:00,1,11:00:00,13:20:00
467,2023-05-17 00:00:00,1,10:00:00,13:00:00
468,2023-05-19 00:00:00,1,11:20:00,12:05:00
469,2023-05-22 00:00:00,1,10:20:00,12:15:00
470,2023-05-24 00:00:00,1,12:15:00,13:30:00
471,2023-05-25 00:00:00,1,12:40:00,13:30:00
472,2023-05-26 00:00:00,1,11:45:00,13:00:00
473,2023-05-30 00:00:00,1,12:15:00,13:20:00
474,2023-05-31 00:00:00,1,10:25:00,11:20:00
475,2023-06-01 00:00:00,1,10:05:00,11:15:00
476,2023-06-02 00:00:00,1,11:45:00,13:20:00
477,2023-06-05 00:00:00,1,10:50:00,12:00:00
478,2023-06-06 00:00:00,1,11:15:00,13:30:00
479,2023-06-07 00:00:00,1,10:00:00,13:10:00
480,2023-06-08 00:00:00,1,11:05:00,12:45:00
